id;zip;city;state
466;2832;sao paulo;SP
467;2834;sao paulo;SP
468;2839;sao paulo;SP
469;2840;sao paulo;SP
470;2842;sao paulo;SP
471;2845;sao paulo;SP
472;2846;sao paulo;SP
473;2848;sao paulo;SP
474;2851;sao paulo;SP
475;2855;sao paulo;SP
476;2857;sao paulo;SP
477;2859;sao paulo;SP
478;2860;sao paulo;SP
479;2863;sao paulo;SP
480;2866;sao paulo;SP
481;2867;sao paulo;SP
482;2870;sao paulo;SP
483;2872;sao paulo;SP
484;2874;sao paulo;SP
485;2875;sao paulo;SP
486;2879;sao paulo;SP
487;2880;sao paulo;SP
488;2882;sao paulo;SP
489;2883;sao paulo;SP
490;2911;sao paulo;SP
491;2913;sao paulo;SP
492;2914;sao paulo;SP
493;2917;sao paulo;SP
494;2919;sao paulo;SP
495;2920;sao paulo;SP
496;2925;sao paulo;SP
497;2926;sao paulo;SP
498;2927;sao paulo;SP
499;2929;sao paulo;SP
500;2931;sao paulo;SP
501;2932;sao paulo;SP
502;2934;sao paulo;SP
503;2936;sao paulo;SP
504;2937;sao paulo;SP
505;2940;sao paulo;SP
506;2941;sao paulo;SP
507;2943;sao paulo;SP
508;2944;sao paulo;SP
509;2945;sao paulo;SP
510;2951;sao paulo;SP
511;2955;sao paulo;SP
512;2957;sao paulo;SP
513;2960;sao paulo;SP
514;2961;sao paulo;SP
515;2962;sao paulo;SP
516;2964;sao paulo;SP
517;2965;sao paulo;SP
518;2967;sao paulo;SP
519;2968;sao paulo;SP
520;2969;sao paulo;SP
521;2971;sao paulo;SP
522;2972;sao paulo;SP
523;2975;sao paulo;SP
524;2976;sao paulo;SP
525;2977;sao paulo;SP
526;2979;sao paulo;SP
527;2981;sao paulo;SP
528;2982;sao paulo;SP
529;2983;sao paulo;SP
530;2989;sao paulo;SP
531;2990;sao paulo;SP
532;2991;sao paulo;SP
533;2992;sao paulo;SP
534;2993;sao paulo;SP
535;2995;sao paulo;SP
536;2996;sao paulo;SP
537;2998;sao paulo;SP
538;3001;sao paulo;SP
539;3005;sao paulo;SP
540;3008;sao paulo;SP
541;3011;sao paulo;SP
542;3012;sao paulo;SP
543;3015;sao paulo;SP
544;3016;sao paulo;SP
545;3018;sao paulo;SP
546;3019;sao paulo;SP
547;3021;sao paulo;SP
548;3022;sao paulo;SP
549;3023;sao paulo;SP
550;3025;sao paulo;SP
551;3026;sao paulo;SP
552;3027;sao paulo;SP
553;3028;sao paulo;SP
554;3029;sao paulo;SP
555;3034;sao paulo;SP
556;3040;sao paulo;SP
557;3041;sao paulo;SP
558;3045;sao paulo;SP
559;3052;sao paulo;SP
560;3054;sao paulo;SP
561;3055;sao paulo;SP
562;3057;sao paulo;SP
563;3058;sao paulo;SP
564;3059;sao paulo;SP
565;3060;sao paulo;SP
566;3061;sao paulo;SP
567;3062;sao paulo;SP
568;3064;sao paulo;SP
569;3065;sao paulo;SP
570;3066;sao paulo;SP
571;3067;sao paulo;SP
572;3069;sao paulo;SP
573;3070;sao paulo;SP
574;3071;sao paulo;SP
575;3072;sao paulo;SP
576;3077;sao paulo;SP
577;3080;sao paulo;SP
578;3081;sao paulo;SP
579;3084;sao paulo;SP
580;3085;sao paulo;SP
581;3086;sao paulo;SP
582;3087;sao paulo;SP
583;3088;sao paulo;SP
584;3089;sao paulo;SP
585;3090;sao paulo;SP
586;3101;sao paulo;SP
587;3102;sao paulo;SP
588;3105;sao paulo;SP
589;3106;sao paulo;SP
590;3107;sao paulo;SP
591;3109;sao paulo;SP
592;3110;sao paulo;SP
593;3111;sao paulo;SP
594;3112;sao paulo;SP
595;3113;sao paulo;SP
596;3114;sao paulo;SP
597;3115;sao paulo;SP
598;3117;sao paulo;SP
599;3118;sao paulo;SP
600;3119;sao paulo;SP
601;3120;sao paulo;SP
602;3121;sao paulo;SP
603;3122;sao paulo;SP
604;3124;sao paulo;SP
605;3127;sao paulo;SP
606;3128;sao paulo;SP
607;3129;sao paulo;SP
608;3131;sao paulo;SP
609;3132;sao paulo;SP
610;3133;sao paulo;SP
611;3134;sao paulo;SP
612;3136;sao paulo;SP
613;3140;sao paulo;SP
614;3141;sao paulo;SP
615;3142;sao paulo;SP
616;3143;sao paulo;SP
617;3144;sao paulo;SP
618;3146;sao paulo;SP
619;3147;sao paulo;SP
620;3149;sao paulo;SP
621;3150;sao paulo;SP
622;3151;sao paulo;SP
623;3152;sao paulo;SP
624;3153;sao paulo;SP
625;3157;sao paulo;SP
626;3158;sao paulo;SP
627;3160;sao paulo;SP
628;3162;sao paulo;SP
629;3164;sao paulo;SP
630;3165;sao paulo;SP
631;3167;sao paulo;SP
632;3168;sao paulo;SP
633;3169;sao paulo;SP
634;3170;sao paulo;SP
635;3171;sao paulo;SP
636;3173;sao paulo;SP
637;3174;sao paulo;SP
638;3175;sao paulo;SP
639;3176;sao paulo;SP
640;3178;sao paulo;SP
641;3179;sao paulo;SP
642;3181;sao paulo;SP
643;3183;sao paulo;SP
644;3184;sao paulo;SP
645;3185;sao paulo;SP
646;3186;sao paulo;SP
647;3188;sao paulo;SP
648;3189;sao paulo;SP
649;3191;sao paulo;SP
650;3192;sao paulo;SP
651;3193;sao paulo;SP
652;3195;sao paulo;SP
653;3201;sao paulo;SP
654;3202;sao paulo;SP
655;3203;sao paulo;SP
656;3205;sao paulo;SP
657;3206;sao paulo;SP
658;3209;sao paulo;SP
659;3210;sao paulo;SP
660;3211;sao paulo;SP
661;3215;sao paulo;SP
662;3216;sao paulo;SP
663;3220;sao paulo;SP
664;3221;sao paulo;SP
665;3222;sao paulo;SP
666;3223;sao paulo;SP
667;3224;sao paulo;SP
668;3225;sao paulo;SP
669;3227;sao paulo;SP
670;3240;sao paulo;SP
671;3243;sao paulo;SP
672;3244;sao paulo;SP
673;3254;sao paulo;SP
674;3256;sao paulo;SP
675;3257;sao paulo;SP
676;3258;sao paulo;SP
677;3260;sao paulo;SP
678;3261;sao paulo;SP
679;3262;sao paulo;SP
680;3264;sao paulo;SP
681;3266;sao paulo;SP
682;3268;sao paulo;SP
683;3269;sao paulo;SP
684;3271;sao paulo;SP
685;3273;sao paulo;SP
686;3275;sao paulo;SP
687;3277;sao paulo;SP
688;3278;sao paulo;SP
689;3279;sao paulo;SP
690;3280;sao paulo;SP
691;3281;sao paulo;SP
692;3282;sao paulo;SP
693;3283;sao paulo;SP
694;3286;sao paulo;SP
695;3287;sao paulo;SP
696;3288;sao paulo;SP
697;3306;sao paulo;SP
698;3307;sao paulo;SP
699;3308;sao paulo;SP
700;3309;sao paulo;SP
701;3310;sao paulo;SP
702;3311;sao paulo;SP
703;3312;sao paulo;SP
704;3313;sao paulo;SP
705;3314;sao paulo;SP
706;3315;sao paulo;SP
707;3317;sao paulo;SP
708;3318;sao paulo;SP
709;3319;sao paulo;SP
710;3320;sao paulo;SP
711;3321;sao paulo;SP
712;3322;sao paulo;SP
713;3323;sao paulo;SP
714;3325;sao paulo;SP
715;3330;sao paulo;SP
716;3331;sao paulo;SP
717;3334;sao paulo;SP
718;3335;sao paulo;SP
719;3336;sao paulo;SP
720;3337;sao paulo;SP
721;3340;sao paulo;SP
722;3342;sao paulo;SP
723;3343;sao paulo;SP
724;3344;sao paulo;SP
725;3346;sao paulo;SP
726;3348;sao paulo;SP
727;3349;sao paulo;SP
728;3350;sao paulo;SP
729;3356;sao paulo;SP
730;3357;sao paulo;SP
731;3358;sao paulo;SP
732;3359;sao paulo;SP
733;3361;sao paulo;SP
734;3363;sao paulo;SP
735;3365;sao paulo;SP
736;3366;sao paulo;SP
737;3367;sao paulo;SP
738;3370;sao paulo;SP
739;3371;sao paulo;SP
740;3372;sao paulo;SP
741;3373;sao paulo;SP
742;3374;sao paulo;SP
743;3375;sao paulo;SP
744;3376;sao paulo;SP
745;3377;sao paulo;SP
746;3378;sao paulo;SP
747;3379;sao paulo;SP
748;3382;sao paulo;SP
749;3386;sao paulo;SP
750;3387;sao paulo;SP
751;3388;sao paulo;SP
752;3389;sao paulo;SP
753;3401;sao paulo;SP
754;3402;sao paulo;SP
755;3404;sao paulo;SP
756;3406;sao paulo;SP
757;3407;sao paulo;SP
758;3408;sao paulo;SP
759;3409;sao paulo;SP
760;3412;sao paulo;SP
761;3413;sao paulo;SP
762;3414;sao paulo;SP
763;3415;sao paulo;SP
764;3416;sao paulo;SP
765;3417;sao paulo;SP
766;3420;sao paulo;SP
767;3421;sao paulo;SP
768;3422;sao paulo;SP
769;3423;sao paulo;SP
770;3429;sao paulo;SP
771;3431;sao paulo;SP
772;3432;sao paulo;SP
773;3435;sao paulo;SP
774;3437;sao paulo;SP
775;3440;sao paulo;SP
776;3444;sao paulo;SP
777;3446;sao paulo;SP
778;3448;sao paulo;SP
779;3449;sao paulo;SP
780;3451;sao paulo;SP
781;3455;sao paulo;SP
782;3461;sao paulo;SP
783;3462;sao paulo;SP
784;3463;sao paulo;SP
785;3470;sao paulo;SP
786;3471;sao paulo;SP
787;3475;sao paulo;SP
788;3476;sao paulo;SP
789;3477;sao paulo;SP
790;3478;sao paulo;SP
791;3480;sao paulo;SP
792;3503;sao paulo;SP
793;3504;sao paulo;SP
794;3506;sao paulo;SP
795;3507;sao paulo;SP
796;3508;sao paulo;SP
797;3511;sao paulo;SP
798;3512;sao paulo;SP
799;3513;sao paulo;SP
800;3515;sao paulo;SP
801;3517;sao paulo;SP
802;3518;sao paulo;SP
803;3520;sao paulo;SP
804;3521;sao paulo;SP
805;3522;sao paulo;SP
806;3523;sao paulo;SP
807;3524;sao paulo;SP
808;3525;sao paulo;SP
809;3530;sao paulo;SP
810;3531;sao paulo;SP
811;3533;sao paulo;SP
812;3534;sao paulo;SP
813;3541;sao paulo;SP
814;3543;sao paulo;SP
815;3544;sao paulo;SP
816;3545;sao paulo;SP
817;3546;sao paulo;SP
818;3547;sao paulo;SP
819;3550;sao paulo;SP
820;3551;sao paulo;SP
821;3552;sao paulo;SP
822;3557;sao paulo;SP
823;3559;sao paulo;SP
824;3560;sao paulo;SP
825;3561;sao paulo;SP
826;3562;sao paulo;SP
827;3563;sao paulo;SP
828;3566;sao paulo;SP
829;3567;sao paulo;SP
830;3568;sao paulo;SP
831;3569;sao paulo;SP
832;3570;sao paulo;SP
833;3571;sao paulo;SP
834;3572;sao paulo;SP
835;3573;sao paulo;SP
836;3574;sao paulo;SP
837;3576;sao paulo;SP
838;3577;sao paulo;SP
839;3578;sao paulo;SP
840;3579;sao paulo;SP
841;3581;sao paulo;SP
842;3582;sao paulo;SP
843;3583;sao paulo;SP
844;3585;sao paulo;SP
845;3589;sao paulo;SP
846;3590;sao paulo;SP
847;3591;sao paulo;SP
848;3604;sao paulo;SP
849;3605;sao paulo;SP
850;3609;sao paulo;SP
851;3611;sao paulo;SP
852;3612;sao paulo;SP
853;3613;sao paulo;SP
854;3622;sao paulo;SP
855;3626;sao paulo;SP
856;3630;sao paulo;SP
857;3634;sao paulo;SP
858;3637;sao paulo;SP
859;3638;sao paulo;SP
860;3639;sao paulo;SP
861;3640;sao paulo;SP
862;3641;sao paulo;SP
863;3642;sao paulo;SP
864;3644;sao paulo;SP
865;3645;sao paulo;SP
866;3646;sao paulo;SP
867;3647;sao paulo;SP
868;3648;sao paulo;SP
869;3649;sao paulo;SP
870;3650;sao paulo;SP
871;3653;sao paulo;SP
872;3654;sao paulo;SP
873;3657;sao paulo;SP
874;3658;sao paulo;SP
875;3659;sao paulo;SP
876;3660;sao paulo;SP
877;3661;sao paulo;SP
878;3662;sao paulo;SP
879;3665;sao paulo;SP
880;3666;sao paulo;SP
881;3669;sao paulo;SP
882;3675;sao paulo;SP
883;3678;sao paulo;SP
884;3679;sao paulo;SP
885;3680;sao paulo;SP
886;3685;sao paulo;SP
887;3687;sao paulo;SP
888;3688;sao paulo;SP
889;3690;sao paulo;SP
890;3694;sao paulo;SP
891;3701;sao paulo;SP
892;3702;sao paulo;SP
893;3704;sao paulo;SP
894;3715;sao paulo;SP
895;3717;sao paulo;SP
896;3718;sao paulo;SP
897;3721;sao paulo;SP
898;3725;sao paulo;SP
899;3726;sao paulo;SP
900;3728;sao paulo;SP
901;3729;sao paulo;SP
902;3731;sao paulo;SP
903;3732;sao paulo;SP
904;3733;sao paulo;SP
905;3734;sao paulo;SP
906;3735;sao paulo;SP
907;3736;sao paulo;SP
908;3737;sao paulo;SP
909;3738;sao paulo;SP
910;3756;sao paulo;SP
911;3757;sao paulo;SP
912;3758;sao paulo;SP
913;3759;sao paulo;SP
914;3801;sao paulo;SP
915;3803;sao paulo;SP
916;3804;sao paulo;SP
917;3805;sao paulo;SP
918;3806;sao paulo;SP
919;3807;sao paulo;SP
920;3809;sao paulo;SP
921;3810;sao paulo;SP
922;3811;sao paulo;SP
923;3812;sao paulo;SP
924;3813;sao paulo;SP
925;3814;sao paulo;SP
926;3816;sao paulo;SP
927;3817;sao paulo;SP
928;3818;sao paulo;SP
929;3819;sao paulo;SP
930;3820;sao paulo;SP
931;3821;sao paulo;SP
932;3822;sao paulo;SP
933;3827;sao paulo;SP
934;3828;sao paulo;SP
935;3870;sao paulo;SP
936;3871;sao paulo;SP
937;3873;sao paulo;SP
938;3874;sao paulo;SP
939;3881;sao paulo;SP
940;3882;sao paulo;SP
941;3884;sao paulo;SP
942;3888;sao paulo;SP
943;3891;sao paulo;SP
944;3896;sao paulo;SP
945;3907;sao paulo;SP
946;3908;sao paulo;SP
947;3909;sao paulo;SP
948;3920;sao paulo;SP
949;3923;sao paulo;SP
950;3925;sao paulo;SP
951;3928;sao paulo;SP
952;3929;sao paulo;SP
953;3930;sao paulo;SP
954;3931;sao paulo;SP
955;3935;sao paulo;SP
956;3937;sao paulo;SP
957;3938;sao paulo;SP
958;3939;sao paulo;SP
959;3942;sao paulo;SP
960;3944;sao paulo;SP
961;3945;sao paulo;SP
962;3947;sao paulo;SP
963;3951;sao paulo;SP
964;3952;sao paulo;SP
965;3960;sao paulo;SP
966;3961;sao paulo;SP
967;3962;sao paulo;SP
968;3963;sao paulo;SP
969;3965;sao paulo;SP
970;3967;sao paulo;SP
971;3968;sao paulo;SP
972;3972;sao paulo;SP
973;3973;sao paulo;SP
974;3974;sao paulo;SP
975;3975;sao paulo;SP
976;3976;sao paulo;SP
977;3977;sao paulo;SP
978;3978;sao paulo;SP
979;3979;sao paulo;SP
980;3980;sao paulo;SP
981;3981;sao paulo;SP
982;3982;sao paulo;SP
983;3984;sao paulo;SP
984;3985;sao paulo;SP
985;3988;sao paulo;SP
986;3989;sao paulo;SP
987;4001;sao paulo;SP
988;4002;sao paulo;SP
989;4003;sao paulo;SP
990;4004;sao paulo;SP
991;4005;sao paulo;SP
992;4006;sao paulo;SP
993;4007;sao paulo;SP
994;4008;sao paulo;SP
995;4009;sao paulo;SP
996;4011;sao paulo;SP
997;4012;sao paulo;SP
998;4013;sao paulo;SP
